"","prey","svspp","year","mean","lci","uci"
"607","all",72,2003,59216325919.5844,15142013912.9288,161775155884.641
"608","all",72,2004,29549552514.9238,5767823315.97775,68839790519.3939
"609","all",72,2005,12718608815.0726,2676807664.50124,32980226776.8218
"610","all",72,2006,46310100909.457,5825439966.24093,154391950974.454
"611","all",72,2007,18689370945.2121,3459095626.42341,48435848348.741
"612","all",72,2008,33249069028.197,9192833066.92898,71353283319.1442
"613","all",72,2009,47395153760.7034,9272343001.20125,104564743063.962
"614","all",72,2010,171928657533.643,35000966867.5687,438437756477.576
"615","all",72,2011,133532319830.389,31131145044.955,408656818503.719
"616","all",72,2012,123937138699.832,31924781388.4598,300918231497.64
"617","all",72,2013,99223855657.4315,12887220014.5188,259721060432.853
"618","all",72,2014,148344332396.702,36107102448.1102,438874902196.019
"619","all",72,2015,119114827308.351,8808973703.74503,426957983329.618
"620","all",72,2016,178938488333.507,14655903959.573,582405760309.446
"621","all",72,2017,90979019196.1467,16666332719.6158,241664928487.506
"622","all",72,2018,64607822974.8491,11897047248.3298,214397458430.119
"623","all",72,2019,95409222987.1283,19048308069.9535,219739923536.874
"624","all",72,2020,NA,0,0
"625","all",73,1973,79196672163.793,13642026956.4659,201236557008.889
"626","all",73,1974,92915480371.6997,21393900936.6953,271008508129.668
"627","all",73,1975,15467629894.5277,3380192550.30749,39826375147.4212
"628","all",73,1976,169231355909.245,19452187436.9368,522654831723.046
"629","all",73,1977,11623039982.5979,3174841098.44996,25662129134.8334
"630","all",73,1978,46606839180.1918,8441909502.94852,133412392993.239
"631","all",73,1979,75606624927.2863,10684605066.795,207892089837.877
"632","all",73,1980,9101333589.30753,1789937166.48517,22992181657.1184
"633","all",73,1981,145315704056.252,35051371363.3647,432051138367.89
"634","all",73,1982,NA,0,0
"635","all",73,1983,NA,0,0
"636","all",73,1984,52747241648.8495,10142365214.3258,134439989273.751
"637","all",73,1985,33157527994.8653,8038157073.40914,74784410899.7093
"638","all",73,1986,36150518316.8165,6774070186.22681,102016752200.463
"639","all",73,1987,43160975734.0071,11498644063.2016,109834959236.175
"640","all",73,1988,35966477745.997,7645589513.17652,93326376148.8843
"641","all",73,1989,42404809274.6566,11135585631.1634,105266169094.868
"642","all",73,1990,46009171633.0372,10245698164.5335,127860427389.064
"643","all",73,1991,26118103202.6894,5357275825.31379,69225438174.566
"644","all",73,1992,34530295736.3503,8901564784.16503,71892643376.7809
"645","all",73,1993,26071536091.5585,8686386427.99464,58291447672.6006
"646","all",73,1994,45070303556.3212,12520537718.775,135076131347.372
"647","all",73,1995,39724668448.7365,10063143885.3386,88229352106.0276
"648","all",73,1996,28085876591.6501,5303159640.0781,103217103198.162
"649","all",73,1997,23727409296.9709,7014358853.19844,58575721437.8289
"650","all",73,1998,25777658247.6177,5890320410.08958,65780891881.0506
"651","all",73,1999,28196355113.1177,5829993828.23576,59347083024.0154
"652","all",73,2000,24755401952.7903,8383338013.02674,55171288867.9315
"653","all",73,2001,40881570932.0087,10264042313.1869,129919278690.587
"654","all",73,2002,161121546845.466,24812077623.0193,474542559209.775
"655","all",73,2003,51494935732.9236,7808768321.99357,126802845190.458
"656","all",73,2004,48851194905.3318,6629881956.27194,180648909994.653
"657","all",73,2005,21459639238.466,6584611256.901,47707653710.823
"658","all",73,2006,51357270055.4276,10877126020.199,146936382338.453
"659","all",73,2007,21233502907.2608,5589080921.48083,49201895593.4894
"660","all",73,2008,36662430021.9205,8147512479.93136,93865598851.9373
"661","all",73,2009,34791177182.1021,6538259170.1838,95654841413.9197
"662","all",73,2010,10565809101.0667,534187451.11465,35239344714.2645
"663","all",73,2011,34136889584.3239,6248611869.23615,70844942810.6978
"664","all",73,2012,13514804294.3985,3615588913.34398,30965087499.2041
"665","all",73,2013,15471171666.5438,5015870349.36855,33930828870.9867
"666","all",73,2014,13427739391.9604,2010422830.814,42241265161.8075
"667","all",73,2015,36720578237.3895,10642826236.1786,90285851606.4076
"668","all",73,2016,25816635005.1839,3859690914.89148,69516793341.3647
"669","all",73,2017,10741552583.8689,2076085121.62803,25554474201.7473
"670","all",73,2018,19083028548.7342,6081153261.21193,42943296690.3594
"671","all",73,2019,7022263232.32605,1592435152.71692,17757104876.4037
"672","all",73,2020,NA,0,0
"673","all",75,1973,18100695403.1364,3684360729.84074,45830805710.7961
"674","all",75,1974,17256103988.8533,2978256103.68192,65328157972.9942
"675","all",75,1975,NA,0,0
"676","all",75,1976,46749122781.3171,10925354906.6804,118588253537.957
"677","all",75,1977,2098625416.15204,27165557.4391912,7668070263.93715
"678","all",75,1978,0,0,0
"679","all",75,1979,0,0,0
"680","all",75,1980,NA,0,0
"681","all",75,1981,0,0,0
"682","all",75,1982,40187628037.4976,7780618303.64212,91822945981.0743
"683","all",75,1983,26161088011.1367,4405388475.53708,83637463851.3499
"684","all",75,1984,27634241872.9237,7540069921.79232,69798520609.7163
"685","all",75,1985,10814536425.5978,1953438291.42641,33504417682.0965
"686","all",75,1986,13331748316.3773,3130596126.7607,31948594828.6261
"687","all",75,1987,10993772852.3592,2685981883.52469,27024544941.2103
"688","all",75,1988,176283809134.689,29883905991.3495,536959232810.247
"689","all",75,1989,6118593576.31073,1067255151.00953,16647329812.1171
"690","all",75,1990,16257480767.5073,4220748860.60053,43862374677.583
"691","all",75,1991,2821570981.32573,408533755.151696,7913795804.77355
"692","all",75,1992,9014056288.88597,2059603722.46857,23902976726.7723
"693","all",75,1993,6245608627.07311,1255048028.30086,15749024289.3858
"694","all",75,1994,4474433617.07712,888500260.20371,10353048176.0585
"695","all",75,1995,7209816232.82168,746321996.257388,26084822638.6719
"696","all",75,1996,18774251982.5939,5260061444.26369,40025841411.3627
"697","all",75,1997,23979196723.989,3560868064.11016,60437195277.0267
"698","all",75,1998,16853212772.5804,2656268830.36938,54961482139.108
"699","all",75,1999,36022353549.3573,7819993302.00992,103250916570.743
"700","all",75,2000,28931330801.1122,4960838749.63174,86123221197.9202
"701","all",75,2001,13702703062.7674,3376102864.83407,35398788776.6163
"702","all",75,2002,15948106892.7018,546372118.924756,57060981819.4597
"703","all",75,2003,16855437112.6942,4814487310.97586,46002769105.1671
"704","all",75,2004,22685150888.1245,5289512448.97844,53799450419.9109
"705","all",75,2005,38611152302.5657,4566275737.11811,99023348050.3918
"706","all",75,2006,20806629015.8154,1487646454.43388,67337757701.1749
"707","all",75,2007,3201737120.31626,615898095.780767,9538319514.21458
"708","all",75,2008,21869991610.296,4727120697.19033,55108135043.9883
"709","all",75,2009,2563026817.9334,331721922.215052,7728914075.9508
"710","all",75,2010,20274441274.5717,3570626692.12869,52751337180.7476
"711","all",75,2011,16218886665.8039,1853837268.73932,69510835159.4363
"712","all",75,2012,29150868610.7369,5945541864.34591,70693634077.0587
"713","all",75,2013,22533699727.3415,2531275955.68942,66341447333.8576
"714","all",75,2014,19299706653.6237,2269809503.22291,52780813182.0433
"715","all",75,2015,6806551546.11552,1223285201.1015,17585794411.702
"716","all",75,2016,7707296622.91846,1235459412.27873,18515307393.7661
"717","all",75,2017,1507968515.5217,106095382.019007,3927729703.72559
"718","all",75,2018,0,0,0
"719","all",75,2019,6726549205.00651,1178365360.60228,16786463168.6435
"720","all",75,2020,NA,0,0
